Project,Chain,Available,Net APY,Net Supply APY,Net Borrow APY,LTV,Supplied,Borrowed,Borrow,Lend
AAVE V2,Polygon,46.87,0.75,0.99,-0.31,80.0,62.06,30.19,USDC,WBTC
AAVE V3,Polygon,13.54,-0.28,0.68,-1.28,82.5,28.09,11.41,USDC,WBTC
🪂0vix,Polygon,711026.0,-2.55,0.95,-4.66,80.0,1456837.0,478910.0,USDC,WBTC
dForce,Polygon,61596.0,2.96,3.08,-0.17,85.0,2764471.0,1822702.0,USDC,WBTC
AAVE V3,Polygon,13.54,1.23,2.19,-1.28,75.0,6391543.0,4182503.0,USDT,WBTC
🪂0vix,Polygon,711026.0,-2.24,1.25,-4.66,80.0,1130708.0,426365.0,USDT,WBTC
dForce,Polygon,61596.0,3.27,3.39,-0.17,85.0,2642944.0,1710504.0,USDT,WBTC
🪂0vix,Polygon,711026.0,-1.78,1.72,-4.66,75.0,801684.0,354819.0,MATIC,WBTC
AAVE V2,Polygon,46.87,-0.2,0.03,-0.31,80.0,86.83,4818448.0,WETH,WBTC
AAVE V3,Polygon,13.54,-0.81,0.15,-1.28,80.0,23.15,2409659.0,WETH,WBTC
🪂0vix,Polygon,711026.0,-2.49,1.01,-4.66,75.0,976896.0,331062.0,WETH,WBTC
dForce,Polygon,61596.0,0.06,0.18,-0.17,80.0,32686.0,5667.0,WETH,WBTC
AAVE V2,Polygon,46.87,0.22,0.45,-0.31,75.0,31.73,9913446.0,DAI,WBTC
AAVE V3,Polygon,13.54,-0.37,0.6,-1.28,75.0,5498341.0,1921896.0,DAI,WBTC
dForce,Polygon,61596.0,2.39,2.51,-0.17,85.0,1296174.0,700853.0,DAI,WBTC
AAVE V3,Polygon,20.74,0.98,2.19,-1.62,75.0,6391543.0,4182503.0,USDT,WETH
🪂0vix,Polygon,645834.0,-1.99,1.25,-4.33,80.0,1130708.0,426365.0,USDT,WETH
dForce,Polygon,27019.0,2.46,3.39,-1.25,85.0,2642944.0,1710504.0,USDT,WETH
🪂0vix,Polygon,645834.0,-2.08,1.17,-4.33,75.0,1118755.0,407729.0,WBTC,WETH
dForce,Polygon,27019.0,-0.93,0.0,-1.25,80.0,63083.0,1487.0,WBTC,WETH
AAVE V2,Polygon,82.01,-0.06,0.45,-0.68,75.0,31.73,9913446.0,DAI,WETH
AAVE V3,Polygon,20.74,-0.62,0.6,-1.62,75.0,5498341.0,1921896.0,DAI,WETH
dForce,Polygon,27019.0,1.58,2.51,-1.25,85.0,1296174.0,700853.0,DAI,WETH
AAVE V2,Polygon,82.01,0.47,0.99,-0.68,80.0,62.06,30.19,USDC,WETH
AAVE V3,Polygon,20.74,-0.54,0.68,-1.62,82.5,28.09,11.41,USDC,WETH
🪂0vix,Polygon,645834.0,-2.3,0.95,-4.33,80.0,1456837.0,478910.0,USDC,WETH
dForce,Polygon,27019.0,2.15,3.08,-1.25,85.0,2764471.0,1822702.0,USDC,WETH
🪂0vix,Polygon,645834.0,-1.53,1.72,-4.33,75.0,801684.0,354819.0,MATIC,WETH
🪂0vix,Polygon,645834.0,-2.08,1.17,-4.33,75.0,1118755.0,407729.0,WBTC,WETH
dForce,Polygon,27019.0,-0.93,0.0,-1.25,80.0,63083.0,1487.0,WBTC,WETH
AAVE V2,Polygon,8595452.0,-0.91,0.99,-2.53,80.0,62.06,30.19,USDC,USDT
AAVE V3,Polygon,2209040.0,-1.5,0.68,-2.91,82.5,28.09,11.41,USDC,USDT
dForce,Polygon,932440.0,0.97,3.08,-2.82,85.0,2764471.0,1822702.0,USDC,USDT
🪂0vix,Polygon,704343.0,-2.67,0.95,-4.83,80.0,1456837.0,478910.0,USDC,USDT
AAVE V2,Polygon,8595452.0,-1.86,0.03,-2.53,80.0,86.83,4818448.0,WETH,USDT
AAVE V3,Polygon,2209040.0,-2.03,0.15,-2.91,80.0,23.15,2409659.0,WETH,USDT
dForce,Polygon,932440.0,-1.93,0.18,-2.82,80.0,32686.0,5667.0,WETH,USDT
🪂0vix,Polygon,704343.0,-2.61,1.01,-4.83,75.0,976896.0,331062.0,WETH,USDT
dForce,Polygon,932440.0,-2.11,0.0,-2.82,80.0,63083.0,1487.0,WBTC,USDT
🪂0vix,Polygon,704343.0,-2.45,1.17,-4.83,75.0,1118755.0,407729.0,WBTC,USDT
🪂0vix,Polygon,704343.0,-1.9,1.72,-4.83,75.0,801684.0,354819.0,MATIC,USDT
dForce,Polygon,932440.0,-2.11,0.0,-2.82,80.0,63083.0,1487.0,WBTC,USDT
🪂0vix,Polygon,704343.0,-2.45,1.17,-4.83,75.0,1118755.0,407729.0,WBTC,USDT
AAVE V2,Polygon,8595452.0,-1.45,0.45,-2.53,75.0,31.73,9913446.0,DAI,USDT
AAVE V3,Polygon,2209040.0,-1.59,0.6,-2.91,75.0,5498341.0,1921896.0,DAI,USDT
dForce,Polygon,932440.0,0.4,2.51,-2.82,85.0,1296174.0,700853.0,DAI,USDT
AAVE V2,Polygon,31.87,-1.59,0.03,-2.16,80.0,86.83,4818448.0,WETH,USDC
AAVE V3,Polygon,16.68,-1.2,0.15,-1.81,80.0,23.15,2409659.0,WETH,USDC
🪂0vix,Polygon,977927.0,-2.14,1.01,-4.19,75.0,976896.0,331062.0,WETH,USDC
